run;image;time
1;1; real 0m0.105s user 0m0.083s sys 0m0.021s
1;2; real 0m0.639s user 0m0.514s sys 0m0.124s
1;3; real 0m2.962s user 0m2.393s sys 0m0.565s
2;1; real 0m0.108s user 0m0.089s sys 0m0.019s
2;2; real 0m0.645s user 0m0.502s sys 0m0.138s
2;3; real 0m2.980s user 0m2.425s sys 0m0.545s
3;1; real 0m0.118s user 0m0.093s sys 0m0.023s
3;2; real 0m0.664s user 0m0.530s sys 0m0.132s
3;3; real 0m3.058s user 0m2.448s sys 0m0.559s
4;1; real 0m0.105s user 0m0.083s sys 0m0.022s
4;2; real 0m0.631s user 0m0.496s sys 0m0.133s
4;3; real 0m2.991s user 0m2.421s sys 0m0.565s
5;1; real 0m0.116s user 0m0.089s sys 0m0.024s
5;2; real 0m0.666s user 0m0.515s sys 0m0.146s
5;3; real 0m2.964s user 0m2.393s sys 0m0.567s
